Northern Ireland,2022-01-06,6274
Namibia,2022-02-07,846
Aruba,2022-02-18,54
Bahrain,2022-01-14,4997
Oman,2022-02-06,13590
Kuwait,2022-01-09,11895
Armenia,2022-02-03,6764
Sint Maarten (Dutch part),2022-01-13,767
Oceania,2022-02-01,254188
Belize,2022-01-22,691
Papua New Guinea,2022-01-12,577
Bulgaria,2022-01-24,11932
Mongolia,2022-02-04,706
Nauru,2022-01-11,0
England,2022-01-04,218730
Cyprus,2022-01-17,5881
Estonia,2022-01-16,4665
Cambodia,2022-01-31,65971
Albania,2022-02-02,16474
Portugal,2022-01-08,62622
Mongolia,2022-02-07,506
Northern Ireland,2022-01-07,7081
Mongolia,2022-01-03,3367
Hungary,2022-01-30,24110
Kyrgyzstan,2022-02-12,8490
Qatar,2022-01-17,18567
Wales,2022-01-01,20870
Comoros,2022-01-25,609
Suriname,2022-02-09,144
Vietnam,2022-01-10,1147290
Netherlands,2022-02-03,34714
Mongolia,2022-01-13,4298
Belgium,2022-01-04,61017
Ecuador,2022-01-22,85174
Lower middle income,2022-02-04,9830218
Senegal,2022-01-18,4472
Greenland,2022-02-01,9
Australia,2022-01-11,239447
South Sudan,2022-01-28,2872
Switzerland,2022-01-21,47638
Belize,2022-01-15,803
Georgia,2022-02-09,3966
Andorra,2022-01-09,865
Uruguay,2022-02-19,4251
Bhutan,2022-02-03,3930
Slovenia,2022-02-03,3028
Anguilla,2022-01-17,25
Albania,2022-01-28,5471
Northern Ireland,2022-01-22,4104
Liberia,2022-02-03,1580
Kenya,2022-02-07,218627
United Arab Emirates,2022-01-11,28564
Asia,2022-01-29,16360764
Greece,2022-02-17,27134
Kyrgyzstan,2022-02-18,10399
Bulgaria,2022-02-11,5829
Tanzania,2022-01-08,33124
Maldives,2022-01-17,1484
Lower middle income,2022-01-21,13443421
Costa Rica,2022-01-09,19245
Bolivia,2022-01-12,87735
Sint Maarten (Dutch part),2022-02-11,59
New Caledonia,2022-01-04,183
China,2022-02-15,5835286
United Arab Emirates,2022-02-18,20752
Bhutan,2022-02-04,3657
Spain,2022-01-08,178485
Guernsey,2022-01-04,1747
Lebanon,2022-02-09,10489
Czechia,2022-01-06,54814
Djibouti,2022-01-18,602
Tajikistan,2022-01-10,65092
Guinea,2022-01-11,6924
Egypt,2022-02-09,249547
Macao,2022-02-14,2225
Tunisia,2022-02-08,5814
England,2022-01-01,225087
Austria,2022-01-27,28838
Saudi Arabia,2022-01-06,208453
European Union,2022-01-03,2285276
Bangladesh,2022-01-08,829757
Isle of Man,2022-01-13,275
Jordan,2022-01-23,24809
El Salvador,2022-02-04,7988
Cape Verde,2022-02-06,2521
Qatar,2022-01-10,13324
Greenland,2022-01-26,26
Grenada,2022-01-22,127
Suriname,2022-01-26,165
Serbia,2022-02-10,3229
Syria,2022-01-31,2829
Czechia,2022-02-19,9034
Vietnam,2022-01-13,1111945
Portugal,2022-01-15,71424
Africa,2022-02-16,1028518
Italy,2022-02-19,158970
Ukraine,2022-01-17,76653
Thailand,2022-02-03,280988
Montserrat,2022-01-11,31
Trinidad and Tobago,2022-02-09,1597
Guatemala,2022-01-03,22141
Kyrgyzstan,2022-01-03,4597
Tunisia,2022-01-02,47796
North Macedonia,2022-01-08,1615
El Salvador,2022-01-25,10304
Fiji,2022-01-01,384
Colombia,2022-02-05,218935
Rwanda,2022-01-24,125016
Oceania,2022-01-06,167122
Malawi,2022-02-18,2617
Czechia,2022-01-30,32546
Canada,2022-02-10,137091
High income,2022-01-01,4939337
Dominica,2022-02-09,23
Sierra Leone,2022-01-14,14555
Uzbekistan,2022-01-30,3947
Cayman Islands,2022-02-08,37
Scotland,2022-02-02,7981
Switzerland,2022-01-12,67970
Dominica,2022-02-18,36
Mongolia,2022-01-06,2622
Estonia,2022-02-13,1289
Albania,2022-01-27,5471
Bolivia,2022-01-26,42998
Anguilla,2022-01-30,29
Cambodia,2022-01-07,43942
Israel,2022-01-17,47496
Haiti,2022-01-27,1878
Vietnam,2022-02-18,745622
Portugal,2022-01-16,74708
Laos,2022-01-12,35334
Malaysia,2022-02-09,112722
Equatorial Guinea,2022-01-04,49
Northern Ireland,2022-01-21,4297
Nepal,2022-01-22,214900
Cuba,2022-01-21,135620
Iceland,2022-01-02,446
Asia,2022-01-17,20702932
Northern Ireland,2022-02-14,2101
Slovakia,2022-01-18,17190
Sierra Leone,2022-01-17,27910
Belarus,2022-01-06,50313
Trinidad and Tobago,2022-02-14,1391
Ghana,2022-01-25,84487
Belarus,2022-01-27,49254
Honduras,2022-01-27,25497
Vanuatu,2022-01-15,736
Colombia,2022-01-30,227804
Antigua and Barbuda,2022-01-03,50
New Zealand,2022-01-15,40886
Chile,2022-01-09,113270
Denmark,2022-01-19,33752
Slovakia,2022-02-12,3140
San Marino,2022-01-19,280
Uzbekistan,2022-01-22,3947
Cambodia,2022-01-13,87587
Malta,2022-01-07,7250
Germany,2022-02-04,258806
Panama,2022-02-16,13285
Sint Maarten (Dutch part),2022-01-06,15
Venezuela,2022-02-01,185506
Democratic Republic of Congo,2022-01-24,5616
Kuwait,2022-01-28,12528
Germany,2022-01-03,396335
Malaysia,2022-01-05,176926
Mexico,2022-02-03,405401
Finland,2022-01-18,26376
Austria,2022-02-08,20356
Kyrgyzstan,2022-02-16,9313
Latvia,2022-01-29,5584
Suriname,2022-02-19,128
Peru,2022-01-14,254480
Estonia,2022-02-14,1227
Bolivia,2022-01-06,91863
Uzbekistan,2022-01-01,115234
Slovenia,2022-01-13,7090
Somalia,2022-02-01,1578
Rwanda,2022-01-15,127901
Liechtenstein,2022-02-16,33
Serbia,2022-01-17,6097
Oman,2022-01-12,11708
Croatia,2022-02-07,5099
Liberia,2022-01-11,5871
Philippines,2022-01-09,556648
High income,2022-01-31,4469510
Philippines,2022-02-08,339198
Afghanistan,2022-01-31,11299
Estonia,2022-01-03,3397
Afghanistan,2022-01-22,8475
Lithuania,2022-01-31,4908
Norway,2022-02-03,17954
Oman,2022-01-08,11708
Azerbaijan,2022-02-04,30479
Japan,2022-01-19,142264
Morocco,2022-01-20,58822
Libya,2022-02-08,9097
Cambodia,2022-02-18,75369
Saint Kitts and Nevis,2022-01-21,62
India,2022-02-14,4811658
Cape Verde,2022-02-02,2853
North America,2022-01-22,1968452
Algeria,2022-01-08,22589
Malta,2022-02-19,879
Gabon,2022-01-14,3128
Afghanistan,2022-01-09,17604
Gabon,2022-01-10,3128
World,2022-02-13,23444795
Canada,2022-01-14,365254
Isle of Man,2022-02-05,122
Denmark,2022-01-29,13473
Papua New Guinea,2022-01-08,568
Democratic Republic of Congo,2022-02-02,6010
Colombia,2022-02-14,219594
Lebanon,2022-01-19,12021
Lithuania,2022-01-02,12863
Ireland,2022-02-15,8095
Bahrain,2022-01-11,5283
Upper middle income,2022-01-15,10309809
Panama,2022-02-15,13296
Barbados,2022-01-04,169
Montenegro,2022-02-02,370
Seychelles,2022-01-04,347
Ghana,2022-01-16,142379
Peru,2022-02-10,106343
Liechtenstein,2022-01-26,119
Costa Rica,2022-01-25,11140
Vietnam,2022-01-30,692956
Seychelles,2022-01-09,347
Cambodia,2022-02-15,80850
Eswatini,2022-01-30,1694
Cuba,2022-01-30,78778
United States,2022-01-26,731975
Iran,2022-01-18,459668
Saint Lucia,2022-01-24,88
Central African Republic,2022-02-05,6940
Vietnam,2022-01-07,1009135
Cameroon,2022-01-03,562
Turkey,2022-01-31,149005
Saint Kitts and Nevis,2022-01-03,67
Lower middle income,2022-01-15,18372057
Czechia,2022-01-14,69538
Sweden,2022-02-15,33482
Scotland,2022-02-05,6910
North Macedonia,2022-01-31,1105
Anguilla,2022-01-10,21
Hungary,2022-02-02,20305
Slovakia,2022-02-10,3598
Ethiopia,2022-01-25,886
Hong Kong,2022-01-02,17404
Ireland,2022-01-16,26990
Kenya,2022-02-13,233947
Pakistan,2022-01-06,683810
Indonesia,2022-01-01,1344493
United Arab Emirates,2022-01-14,26977
Cape Verde,2022-01-25,2853
Africa,2022-01-14,1584168
Gibraltar,2022-01-03,17
Rwanda,2022-01-06,127901
Algeria,2022-02-07,16222
Ireland,2022-02-13,8273
Ukraine,2022-02-19,53178
Comoros,2022-01-26,609
Benin,2022-01-24,15056
Nicaragua,2022-02-08,22118
Belize,2022-01-04,338
Kosovo,2022-02-03,3184
Lower middle income,2022-01-24,13275438
Venezuela,2022-01-07,126261
Madagascar,2022-01-23,5727
Anguilla,2022-01-01,21
Belgium,2022-01-19,91627
Grenada,2022-01-09,179
Iraq,2022-01-13,55912
Saint Kitts and Nevis,2022-01-22,55
Yemen,2022-01-23,4240
New Zealand,2022-01-18,41523
Comoros,2022-01-02,2025
Lithuania,2022-01-27,5706
Sweden,2022-01-21,74882
Luxembourg,2022-01-31,3105
Uruguay,2022-01-24,19444
Djibouti,2022-01-21,582
Tajikistan,2022-01-04,47972
Tunisia,2022-02-03,10656
Andorra,2022-01-12,865
Serbia,2022-01-22,5250
French Polynesia,2022-01-17,722
Uzbekistan,2022-01-24,3947
Poland,2022-01-16,191870
Ecuador,2022-02-10,66157
Botswana,2022-02-05,2733
Israel,2022-01-06,48278
Iceland,2022-01-20,2599
Montserrat,2022-01-19,39
Madagascar,2022-01-15,5727
Panama,2022-02-17,13090
Namibia,2022-01-10,908
Montenegro,2022-01-11,805
Montserrat,2022-01-18,42
Bahrain,2022-02-08,2047
